Orthogroup_ID	CAFE_p-value	Gene_Group	Group_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary
N0.HOG0000049	0.0	None	None	cag (from API summary)	1	45	18	24	22	7	15	11	2	1	62	9	9	18	61	rna-NM_057859.4	FBgn0017414	The gene cag is referred to in FlyBase by the symbol Dmel\cag (CG12346, FBgn0017414). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:10893034..10894414. Its molecular function is described by: DNA binding. The biological processes in which it is involved are not known. 10 alleles are reported. The phenotypes of these alleles manifest in: trichogen cell; sarcomere; Z disc; mesonotum. The phenotypic classes of alleles include: partially lethal - majority die; viable; visible; lethal - all die during larval stage; some die during pupal stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of low expression.  Peak expression observed within 00-18 hour embryonic stages, during late larval stages, at stages throughout the pupal period.
N0.HOG0000056	0.0	Gene Group 7	odorant binding	Odorant-binding protein 56e(Obp56e)	3	11	4	4	46	19	33	44	7	24	7	9	6	6	43	rna-NM_137601.4	FBgn0034471	The gene Odorant-binding protein 56e is referred to in FlyBase by the symbol Dmel\Obp56e (CG8462, FBgn0034471). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2R:19712345..19712932. Its molecular function is described by: odorant binding. It is involved in the biological process described with: sexual reproduction; sensory perception of chemical stimulus; sensory perception of smell. 5 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000059	0.0	Gene Group 1	detoxification	Cytochrome P450 9f3(Cyp9f3)	6	57	32	7	10	20	3	26	9	10	7	1	7	6	56	rna-NM_001363930.1	FBgn0038034	The gene Cytochrome P450 9f3 is referred to in FlyBase by the symbol Dmel\Cyp9f3 (CG17875, FBgn0038034). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:12396007..12398929. Its molecular function is described by: iron ion binding. The biological processes in which it is involved are not known. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of very low expression.  Peak expression observed within 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult male stages.
N0.HOG0000067	0.0	Gene Group 23,Gene Group 25	Cuticular protein,glycolysis and early development (and other)	Cuticular protein 30F(Cpr30F)	1	1	1	11	3	3	5	3	3	6	2	2	4	4	10	rna-NM_164879.3	FBgn0051876	The gene Cuticular protein 30F is referred to in FlyBase by the symbol Dmel\Cpr30F (CG31876, FBgn0051876). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:9932272..9933163. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 4 alleles are reported. The phenotypes of these alleles manifest in: larval neuroblast; ganglion mother cell; mesonotum; trichogen cell. The phenotypic classes of alleles include: lethal; some die during P-stage; increased mortality during development; phenotype. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000068	0.0	None	None	None	1	43	39	21	1	4	4	2	1	2	16	4	5	48	47	rna-NM_168749.2	FBgn0052187	This gene is referred to in FlyBase by the symbol Dmel\CG32187 (FBgn0052187). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:17804916..17806365. Its molecular function is unknown. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: some die during pupal stage; partially lethal - majority die; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 06-18 hour embryonic stages, during early pupal stages.
N0.HOG0000069	0.0	None	None	None	1	19	48	8	11	2	18	2	2	1	39	7	6	19	47	rna-NM_143799.3	FBgn0026148	This gene is referred to in FlyBase by the symbol Dmel\CG12253 (FBgn0026148). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:10987806..10989241. Its molecular function is unknown. The biological processes in which it is involved are not known. 6 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000071	0.0	None	None	None	1	7	3	1	11	2	13	2	1	1	7	2	16	4	15	rna-NM_001299601.1	FBgn0028953	This gene is referred to in FlyBase by the symbol Dmel\CG14478 (FBgn0028953). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:17457663..17465795. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 19 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal behavior; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of moderate expression.  Peak expression observed within 00-12 hour embryonic stages.
N0.HOG0000072	0.0	None	None	None	1	21	1	10	8	1	5	1	1	1	39	1	15	11	38	rna-NM_141770.3	FBgn0037844	This gene is referred to in FlyBase by the symbol Dmel\CG4570 (FBgn0037844). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:10856807..10858066. Its molecular function is described by: nucleic acid binding. The biological processes in which it is involved are not known. 10 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000073	0.0	None	None	None	1	21	10	5	14	16	4	15	16	18	15	15	13	18	20	rna-NM_140661.3	FBgn0036659	This gene is referred to in FlyBase by the symbol Dmel\CG9701 (FBgn0036659). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:16733546..16739364. Its molecular function is described by: hydrolase activity, hydrolyzing O-glycosyl compounds; beta-glucosidase activity. It is involved in the biological process described with: carbohydrate metabolic process. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed at stages throughout the pupal period.
N0.HOG0000078	0.0	Gene Group 25	glycolysis and early development (and other)	uncharacterized protein(CG8757)	9	2	5	7	34	17	17	41	9	7	5	7	6	7	39	rna-NM_140407.2	FBgn0036380	This gene is referred to in FlyBase by the symbol Dmel\CG8757 (FBgn0036380). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:13840197..13842240. Its molecular function is described by: 3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity; oxidoreductase activity; 17-beta-hydroxysteroid dehydrogenase (NADP+) activity; estradiol 17-beta-dehydrogenase [NAD(P)+] activity. The biological processes in which it is involved are not known. 3 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late pupal stages.
N0.HOG0000082	0.047	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG17242)	18	1	1	1	1	1	1	2	1	1	1	1	1	1	17	rna-NM_001272992.2	FBgn0250841	This gene is referred to in FlyBase by the symbol Dmel\CG17242 (FBgn0250841). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2L:2268106..2269140. Its molecular function is unknown. It is involved in the biological process described with: proteolysis; sexual reproduction. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000085	0.0	Gene Group 3	None	uncharacterized protein(CG3635)	13	6	7	10	7	2	21	5	9	6	2	4	7	7	19	rna-NM_136294.5	FBgn0032981	This gene is referred to in FlyBase by the symbol Dmel\CG3635 (FBgn0032981). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is 2L:22175415..22183991. Its molecular function is described by: triacylglycerol lipase activity; hydrolase activity, acting on ester bonds. It is involved in the biological process described with: lipid metabolic process. 8 alleles are reported. The phenotypes of these alleles manifest in: mesonotum; adult midgut region R3; trichogen cell; lipid droplet. The phenotypic classes of alleles include: abnormal body color; viable; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed during late larval stages.
N0.HOG0000086	0.001	Gene Group 3	None	Lipase 4(Lip4)	6	10	4	1	8	5	7	4	1	1	4	4	5	3	9	rna-NM_001273427.1	FBgn0032264	The gene Lipase 4 is referred to in FlyBase by the symbol Dmel\Lip4 (CG6113, FBgn0032264). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (all unique). Gene sequence location is 2L:10527572..10531778. Its molecular function is described by: serine hydrolase activity; triacylglycerol lipase activity; hydrolase activity, acting on ester bonds. It is involved in the biological process described with: lipid catabolic process. 14 alleles are reported. The phenotype of these alleles manifest in: ovariole. The phenotypic classes of alleles include: flightless; viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of very low expression.  Peak expression observed within 06-12 and 18-24 hour embryonic stages.
N0.HOG0000087	0.0	Gene Group 27	DNA-related functions	uncharacterized protein(CG14352)	1	3	28	3	1	1	9	8	3	1	23	2	3	5	27	rna-NM_134765.3	FBgn0031351	This gene is referred to in FlyBase by the symbol Dmel\CG14352 (FBgn0031351). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:1611410..1612576. Its molecular function is unknown. The biological processes in which it is involved are not known. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages.
N0.HOG0000089	0.0	None	None	Alcohol dehydrogenase (from API summary)	6	31	43	5	8	7	17	5	10	10	7	6	5	8	38	rna-NM_001032098.2	FBgn0000055	The gene Alcohol dehydrogenase is referred to in FlyBase by the symbol Dmel\Adh (CG3481, FBgn0000055). It is a protein_coding_gene from Dmel. It has 5 annotated transcripts and 5 polypeptides (1 unique). Gene sequence location is 2L:14615552..14618902. Its molecular function is described by: oxidoreductase activity; aldehyde dehydrogenase (NAD+) activity; alcohol dehydrogenase (NAD+) activity; protein homodimerization activity. It is involved in the biological process described with 7 unique terms, many of which group under: alcohol metabolic process; cellular process; metabolic process; amide biosynthetic process; response to oxygen-containing compound. 482 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal locomotor behavior; electrophoretic variant; wild-type; chemical sensitive; chemical resistant. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of low expression.  Peak expression observed at stages throughout the larval period, in adult male stages.  This gene is annotated by FlyBase as a dicistronic gene, meaning that some or all of its transcripts encode two or more polypeptide-coding open reading frames (ORFs) , with each ORF assigned to a different gene.  The distribution of RNA-Seq coverage data amongst the different encoded genes cannot be determined.
N0.HOG0000092	0.0	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG11529)	2	4	4	1	7	8	19	9	1	1	1	1	1	1	18	rna-NM_140301.2	FBgn0036264	This gene is referred to in FlyBase by the symbol Dmel\CG11529 (FBgn0036264). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:12197791..12199030. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 4 alleles are reported. The phenotypes of these alleles manifest in: ganglion mother cell; mesonotum. The phenotypic classes of alleles include: abnormal neuroanatomy; lethal; flightless; viable; partially lethal - majority die; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed during late larval stages.
N0.HOG0000093	0.0	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG7542)	2	1	1	1	28	28	9	37	6	1	1	1	1	1	36	rna-NM_001300170.1	FBgn0036738	This gene is referred to in FlyBase by the symbol Dmel\CG7542 (FBgn0036738). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:17549826..17550980. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: innate immune response; proteolysis. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000095	0.0	Gene Group 1	detoxification	Cytochrome P450 4d1(Cyp4d1)	15	20	11	2	13	10	29	5	7	5	7	14	8	14	27	rna-NM_057559.4	FBgn0005670	The gene Cytochrome P450 4d1 is referred to in FlyBase by the symbol Dmel\Cyp4d1 (CG3656, FBgn0005670). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is X:2159145..2162180. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. The biological processes in which it is involved are not known. 13 alleles are reported. The phenotypes of these alleles manifest in: embryonic/larval fat body; lipid droplet. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed during late larval stages.
N0.HOG0000101	0.0	Gene Group 22	glutathione metabolic process	Glutathione S transferase E12(GstE12)	3	24	11	6	14	15	24	19	2	1	1	1	1	1	23	rna-NM_138120.3	FBgn0027590	The gene Glutathione S transferase E12 is referred to in FlyBase by the symbol Dmel\GstE12 (CG16936, FBgn0027590). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:24766718..24768172. Its molecular function is described by: glutathione transferase activity. It is involved in the biological process described with: glutathione metabolic process. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.
N0.HOG0000108	0.0	Gene Group 23	Cuticular protein	Cuticular protein 78Cc(Cpr78Cc)	4	8	4	8	5	7	7	6	2	15	14	9	8	10	13	rna-NM_141043.3	FBgn0037069	The gene Cuticular protein 78Cc is referred to in FlyBase by the symbol Dmel\Cpr78Cc (CG7658, FBgn0037069). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:21300580..21301171. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 2 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period.
N0.HOG0000112	0.0	Gene Group 25	glycolysis and early development (and other)	UDP-glycosyltransferase family 303 member A1(Ugt303A1)	19	6	1	5	4	7	13	3	1	2	3	2	3	3	18	rna-NM_001275541.1	FBgn0040252	The gene UDP-glycosyltransferase family 303 member A1 is referred to in FlyBase by the symbol Dmel\Ugt303A1 (CG4772, FBgn0040252). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:11175529..11177910. Its molecular function is described by: UDP-glycosyltransferase activity. It is involved in the biological process described with: glycosylation. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; partially lethal; abnormal pain response. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages.
N0.HOG0000113	0.0	Gene Group 25	glycolysis and early development (and other)	UDP-glycosyltransferase family 316 member A1(Ugt316A1)	1	1	19	10	5	5	2	1	9	6	5	2	4	6	18	rna-NM_001300182.1	FBgn0036842	The gene UDP-glycosyltransferase family 316 member A1 is referred to in FlyBase by the symbol Dmel\Ugt316A1 (CG3797, FBgn0036842). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:19059400..19062816. Its molecular function is described by: UDP-glycosyltransferase activity. It is involved in the biological process described with: glycosylation. 4 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-12 and 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult female stages.
N0.HOG0000119	0.0	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG11841)	5	10	7	5	10	9	39	12	5	9	4	2	2	3	37	rna-NM_143404.2	FBgn0039628	This gene is referred to in FlyBase by the symbol Dmel\CG11841 (FBgn0039628). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29051056..29052267. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: partially lethal - majority die; viable; some die during pupal stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adult male stages.
N0.HOG0000120	0.0	Gene Group 4	Esterase and mating behavior	alpha-Esterase-6(alpha-Est6)	14	3	12	4	13	15	31	20	4	8	3	3	4	3	28	rna-NM_079538.3	FBgn0015574	The gene alpha-Esterase-6 is referred to in FlyBase by the symbol Dmel\α-Est6 (CG1108, FBgn0015574). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:7524567..7528777. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed in adult male stages.
N0.HOG0000127	0.0	Gene Group 21	transcription regulation	uncharacterized protein(CG5180)	1	2	9	1	1	2	2	1	1	1	2	2	6	1	8	rna-NM_142635.2	FBgn0043457	This gene is referred to in FlyBase by the symbol Dmel\CG5180 (FBgn0043457). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:20557930..20559760. Its molecular function is unknown. The biological processes in which it is involved are not known. 9 alleles are reported. The phenotypes of these alleles manifest in: dorsocentral bristle; scutellar bristle; thecogen cell; trichogen cell. The phenotypic classes of alleles include: visible; viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages.
