Orthogroup_ID	Gene_Group	Group_function	Gene_Name	D_melanogaster	I_luminosus	P_pyralis	C_septempunctata	A_verrucosus	T_castaneum	Z_morio	T_molitor	D_ponderosae	R_ferrugineus	A_obtectus	B_siliquastri	C_chinensis	C_maculatus	max_delta_GF	transcript_ID_native	Flybase	Flybase_summary	CAFE_p-value
N0.HOG0000087	Gene Group 27	DNA-related functions	uncharacterized protein(CG14352)	1	3	28	3	1	1	9	8	3	1	23	2	3	5	27	rna-NM_134765.3	FBgn0031351	This gene is referred to in FlyBase by the symbol Dmel\CG14352 (FBgn0031351). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 2L:1611410..1612576. Its molecular function is unknown. The biological processes in which it is involved are not known. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of low expression.  Peak expression observed within 00-06 hour embryonic stages.	0.0
N0.HOG0000089	None	None	Alcohol dehydrogenase (from API summary)	6	31	43	5	8	7	17	5	10	10	7	6	5	8	38	rna-NM_001032098.2	FBgn0000055	The gene Alcohol dehydrogenase is referred to in FlyBase by the symbol Dmel\Adh (CG3481, FBgn0000055). It is a protein_coding_gene from Dmel. It has 5 annotated transcripts and 5 polypeptides (1 unique). Gene sequence location is 2L:14615552..14618902. Its molecular function is described by: oxidoreductase activity; aldehyde dehydrogenase (NAD+) activity; alcohol dehydrogenase (NAD+) activity; protein homodimerization activity. It is involved in the biological process described with 7 unique terms, many of which group under: alcohol metabolic process; cellular process; metabolic process; amide biosynthetic process; response to oxygen-containing compound. 482 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: abnormal locomotor behavior; electrophoretic variant; wild-type; chemical sensitive; chemical resistant. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of extremely high expression to a trough of low expression.  Peak expression observed at stages throughout the larval period, in adult male stages.  This gene is annotated by FlyBase as a dicistronic gene, meaning that some or all of its transcripts encode two or more polypeptide-coding open reading frames (ORFs) , with each ORF assigned to a different gene.  The distribution of RNA-Seq coverage data amongst the different encoded genes cannot be determined.	0.0
N0.HOG0000092	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG11529)	2	4	4	1	7	8	19	9	1	1	1	1	1	1	18	rna-NM_140301.2	FBgn0036264	This gene is referred to in FlyBase by the symbol Dmel\CG11529 (FBgn0036264). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:12197791..12199030. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 4 alleles are reported. The phenotypes of these alleles manifest in: ganglion mother cell; mesonotum. The phenotypic classes of alleles include: abnormal neuroanatomy; lethal; flightless; viable; partially lethal - majority die; visible. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed during late larval stages.	0.0
N0.HOG0000093	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG7542)	2	1	1	1	28	28	9	37	6	1	1	1	1	1	36	rna-NM_001300170.1	FBgn0036738	This gene is referred to in FlyBase by the symbol Dmel\CG7542 (FBgn0036738). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:17549826..17550980. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: innate immune response; proteolysis. 5 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of no expression detected.  Peak expression observed in adult male stages.	0.0
N0.HOG0000095	Gene Group 1	detoxification	Cytochrome P450 4d1(Cyp4d1)	15	20	11	2	13	10	29	5	7	5	7	14	8	14	27	rna-NM_057559.4	FBgn0005670	The gene Cytochrome P450 4d1 is referred to in FlyBase by the symbol Dmel\Cyp4d1 (CG3656, FBgn0005670). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (all unique). Gene sequence location is X:2159145..2162180. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; iron ion binding; heme binding. The biological processes in which it is involved are not known. 13 alleles are reported. The phenotypes of these alleles manifest in: embryonic/larval fat body; lipid droplet. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of very low expression.  Peak expression observed during late larval stages.	0.0
N0.HOG0000101	Gene Group 22	glutathione metabolic process	Glutathione S transferase E12(GstE12)	3	24	11	6	14	15	24	19	2	1	1	1	1	1	23	rna-NM_138120.3	FBgn0027590	The gene Glutathione S transferase E12 is referred to in FlyBase by the symbol Dmel\GstE12 (CG16936, FBgn0027590). It is a protein_coding_gene from Dmel. It has 4 annotated transcripts and 4 polypeptides (1 unique). Gene sequence location is 2R:24766718..24768172. Its molecular function is described by: glutathione transferase activity. It is involved in the biological process described with: glutathione metabolic process. 8 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of low expression.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.	0.0
N0.HOG0000108	Gene Group 23	Cuticular protein	Cuticular protein 78Cc(Cpr78Cc)	4	8	4	8	5	7	7	6	2	15	14	9	8	10	13	rna-NM_141043.3	FBgn0037069	The gene Cuticular protein 78Cc is referred to in FlyBase by the symbol Dmel\Cpr78Cc (CG7658, FBgn0037069). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:21300580..21301171. Its molecular function is described by: structural constituent of chitin-based larval cuticle. It is involved in the biological process described with: chitin-based cuticle development. 2 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period.	0.0
N0.HOG0000112	Gene Group 25	glycolysis and early development (and other)	UDP-glycosyltransferase family 303 member A1(Ugt303A1)	19	6	1	5	4	7	13	3	1	2	3	2	3	3	18	rna-NM_001275541.1	FBgn0040252	The gene UDP-glycosyltransferase family 303 member A1 is referred to in FlyBase by the symbol Dmel\Ugt303A1 (CG4772, FBgn0040252). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:11175529..11177910. Its molecular function is described by: UDP-glycosyltransferase activity. It is involved in the biological process described with: glycosylation. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; partially lethal; abnormal pain response. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages.	0.0
N0.HOG0000113	Gene Group 25	glycolysis and early development (and other)	UDP-glycosyltransferase family 316 member A1(Ugt316A1)	1	1	19	10	5	5	2	1	9	6	5	2	4	6	18	rna-NM_001300182.1	FBgn0036842	The gene UDP-glycosyltransferase family 316 member A1 is referred to in FlyBase by the symbol Dmel\Ugt316A1 (CG3797, FBgn0036842). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3L:19059400..19062816. Its molecular function is described by: UDP-glycosyltransferase activity. It is involved in the biological process described with: glycosylation. 4 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of moderate expression.  Peak expression observed within 00-12 and 18-24 hour embryonic stages, during late larval stages, at stages throughout the pupal period, in adult female stages.	0.0
N0.HOG0000119	Gene Group 2	protein breakdown (proteolysis)	uncharacterized protein(CG11841)	5	10	7	5	10	9	39	12	5	9	4	2	2	3	37	rna-NM_143404.2	FBgn0039628	This gene is referred to in FlyBase by the symbol Dmel\CG11841 (FBgn0039628). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:29051056..29052267. Its molecular function is described by: serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; innate immune response. 4 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: partially lethal - majority die; viable; some die during pupal stage. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed in adult male stages.	0.0
N0.HOG0000120	Gene Group 4	Esterase and mating behavior	alpha-Esterase-6(alpha-Est6)	14	3	12	4	13	15	31	20	4	8	3	3	4	3	28	rna-NM_079538.3	FBgn0015574	The gene alpha-Esterase-6 is referred to in FlyBase by the symbol Dmel\α-Est6 (CG1108, FBgn0015574). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:7524567..7528777. Its molecular function is described by: carboxylesterase activity. The biological processes in which it is involved are not known. 4 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed in adult male stages.	0.0
N0.HOG0000140	Gene Group 1	detoxification	Cytochrome P450 6w1(Cyp6w1)	6	26	8	8	9	8	14	17	1	6	5	3	2	6	25	rna-NM_001299216.1	FBgn0033065	The gene Cytochrome P450 6w1 is referred to in FlyBase by the symbol Dmel\Cyp6w1 (CG8345, FBgn0033065). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 2R:6173684..6176195. Its molecular function is described by: monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; heme binding; iron ion binding. It is involved in the biological process described with: response to DDT; insecticide catabolic process. 7 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of no expression detected.  Peak expression observed during late larval stages, in adult male stages.	0.0
N0.HOG0000141	Gene Group 4	Esterase and mating behavior	Esterase P(Est-P)	2	7	21	4	8	8	11	9	3	6	12	9	9	10	19	rna-NM_176323.2	FBgn0000594	The gene Esterase P is referred to in FlyBase by the symbol Dmel\Est-P (CG17148, FBgn0000594). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3L:12190733..12192528. Its molecular function is described by: serine hydrolase activity; carboxylesterase activity. The biological processes in which it is involved are not known. 39 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: electrophoretic variant; viable; partially lethal - majority die. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during late larval stages.	0.0
N0.HOG0000142	None	None	Juvenile hormone binding protein 12 (from API summary)	1	19	13	4	26	9	10	17	2	6	2	3	2	4	25	rna-NM_143008.3	FBgn0039203	The gene Juvenile hormone binding protein 12 is referred to in FlyBase by the symbol Dmel\Jhbp12 (CG13618, FBgn0039203). It is a protein_coding_gene from Dmel. It has one annotated transcript and one polypeptide. Gene sequence location is 3R:24524794..24527533. Its molecular function is unknown. It is involved in the biological process described with: circadian rhythm. 8 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; fertile. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed during early pupal stages.	0.0
N0.HOG0000145	Gene Group 34	uncharacterized	uncharacterized protein(CG31974)	2	4	1	1	10	5	25	19	6	11	11	5	8	8	24	rna-NM_001272871.1	FBgn0051974	This gene is referred to in FlyBase by the symbol Dmel\CG31974 (FBgn0051974). It is a protein_coding_gene from Dmel. It has 3 annotated transcripts and 3 polypeptides (2 unique). Gene sequence location is 2L:141077..143091. Its molecular function is described by: ecdysteroid 22-kinase activity. The biological processes in which it is involved are not known. 14 alleles are reported. No phenotypic data is available. The phenotypic class of alleles includes: viable. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of high expression to a trough of extremely low expression.  Peak expression observed during early larval stages.	0.0
N0.HOG0000161	None	None	None	1	1	1	1	8	8	19	10	1	1	1	1	1	2	18	rna-NM_169500.2	FBgn0038130	This gene is referred to in FlyBase by the symbol Dmel\CG8630 (FBgn0038130). It is a protein_coding_gene from Dmel. It has 2 annotated transcripts and 2 polypeptides (1 unique). Gene sequence location is 3R:13279721..13284527. Its molecular function is described by: oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water; stearoyl-CoA 9-desaturase activity; iron ion binding. It is involved in the biological process described with: unsaturated fatty acid biosynthetic process; lipid metabolic process. 8 alleles are reported. No phenotypic data is available. The phenotypic classes of alleles include: viable; lethal. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of very high expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.	0.0
